x_pos, x_pwm, x_speed
233, 0, 3436.426
234, 0, 3448.276
234, 0, 3448.276
234, 0, 3448.276
235, 0, 3448.276
235, 0, 3448.276
235, 0, 3448.276
236, 0, 3448.276
236, 0, 3448.276
236, 0, 3448.276
237, 0, 3448.276
237, 0, 3448.276
237, 0, 3448.276
238, 0, 3448.276
238, 0, 3448.276
238, 0, 3448.276
239, 0, 3448.276
239, 0, 3448.276
239, 0, 3448.276
240, 0, 3448.276
240, 0, 3448.276
240, 0, 3448.276
240, 0, 3448.276
241, 0, 2590.6736
241, 0, 2590.6736
241, 0, 2590.6736
242, 0, 3436.426
242, 0, 3436.426
242, 0, 3436.426
242, 0, 3436.426
243, 0, 2590.6736
243, 0, 2590.6736
243, 0, 2590.6736
244, 0, 3424.6575
244, 0, 3424.6575
244, 0, 3424.6575
244, 0, 3424.6575
245, 0, 2577.3196
245, 0, 2577.3196
245, 0, 2577.3196
246, 0, 3424.6575
246, 0, 3424.6575
246, 0, 3424.6575
246, 0, 3424.6575
247, 0, 3424.6575
247, 0, 2061.8557
247, 0, 2061.8557
247, 0, 2061.8557
247, 0, 2061.8557
248, 0, 2570.694
248, 0, 2570.694
248, 0, 2570.694
248, 0, 2570.694
249, 0, 2590.6736
249, 0, 2590.6736
249, 0, 2590.6736
249, 0, 2590.6736
250, 0, 2577.3196
250, 0, 2577.3196
250, 0, 2577.3196
250, 0, 2577.3196
250, 0, 2577.3196
251, 0, 2057.613
251, 0, 2057.613
251, 0, 2057.613
251, 0, 2057.613
251, 0, 2057.613
252, 0, 2074.6887
252, 0, 2074.6887
252, 0, 2074.6887
252, 0, 2074.6887
252, 0, 2074.6887
253, 0, 2057.613
253, 0, 2057.613
253, 0, 2057.613
253, 0, 2057.613
253, 0, 2057.613
254, 0, 2070.3933
254, 0, 2070.3933
254, 0, 2070.3933
254, 0, 2070.3933
254, 0, 2070.3933
254, 0, 2070.3933
255, 0.0007628207, 1715.2659
255, 0.0015898517, 1715.2659
255, 0.0024333405, 1715.2659
255, 0.0032768296, 1715.2659
255, 0.0041203187, 1715.2659
255, 0.0049804277, 1715.2659
256, 0.0058405367, 1715.2659
256, 0.009827557, 1386.9625
256, 0.013737536, 1386.9625
256, 0.017724557, 1386.9625
256, 0.021711577, 1386.9625
256, 0.025621556, 1386.9625
256, 0.029531535, 1386.9625
257, 0.031099899, 1615.5089
257, 0.032637957, 1615.5089
257, 0.034206323, 1615.5089
257, 0.03577469, 1615.5089
257, 0.037312746, 1615.5089
257, 0.038881112, 1615.5089
257, 0.040449478, 1615.5089
258, 0.0445116, 1381.2155
258, 0.048495233, 1381.2155
258, 0.052478865, 1381.2155
258, 0.05654099, 1381.2155
258, 0.06052462, 1381.2155
258, 0.06450825, 1381.2155
258, 0.06849188, 1381.2155
258, 0.072475515, 1381.2155
258, 0.07653764, 1381.2155
259, 0.0857404, 1077.5862
259, 0.094592616, 1077.5862
259, 0.10344483, 1077.5862
259, 0.11229704, 1077.5862
259, 0.12114926, 1077.5862
259, 0.12982875, 1077.5862
259, 0.13868096, 1077.5862
259, 0.14753318, 1077.5862
259, 0.15638539, 1077.5862
259, 0.1652376, 1077.5862
260, 0.17619585, 973.70984
260, 0.18737, 973.70984
260, 0.19832824, 973.70984
260, 0.20928648, 973.70984
260, 0.22046064, 973.70984
260, 0.2316348, 973.70984
260, 0.24259304, 973.70984
260, 0.2537672, 973.70984
260, 0.26472542, 973.70984
260, 0.27589956, 973.70984
260, 0.2870737, 973.70984
260, 0.29803193, 973.70984
260, 0.30920607, 973.70984
260, 0.3203802, 973.70984
261, 0.33820495, 691.085
261, 0.3560297, 691.085
261, 0.37350664, 691.085
261, 0.39133137, 691.085
261, 0.4091561, 691.085
261, 0.42663306, 691.085
261, 0.4444578, 691.085
261, 0.46193475, 691.085
261, 0.47975948, 691.085
261, 0.49723643, 691.085
261, 0.5147134, 691.085
261, 0.5321904, 691.085
261, 0.54966736, 691.085
261, 0.5674921, 691.085
261, 0.5849691, 691.085
261, 0.6024461, 691.085
261, 0.61957866, 691.085
261, 0.6374034, 691.085
261, 0.6548804, 691.085
261, 0.672013, 691.085
261, 0.68948996, 691.085
261, 0.70696694, 691.085
261, 0.7244439, 691.085
261, 0.7419209, 691.085
261, 0.75939786, 691.085
261, 0.77722263, 691.085
261, 0.7950474, 691.085
261, 0.8125244, 691.085
261, 0.83000135, 691.085
261, 0.8478261, 691.085
261, 0.8653031, 691.085
261, 0.8827801, 691.085
261, 0.90025705, 691.085
261, 0.917734, 691.085
261, 0.935211, 691.085
261, 0.9523436, 691.085
261, 0.96982056, 691.085
261, 0.9876453, 691.085
261, 1.0051223, 691.085
261, 1.0225992, 691.085
261, 1.040424, 691.085
261, 1.0579009, 691.085
261, 1.0753778, 691.085
261, 1.0928547, 691.085
261, 1.1103317, 691.085
261, 1.1281564, 691.085
261, 1.1459812, 691.085
261, 1.163806, 691.085
261, 1.1812829, 691.085
261, 1.1987598, 691.085
261, 1.2162367, 691.085
261, 1.2340615, 691.085
261, 1.2518862, 691.085
261, 1.269711, 691.085
261, 1.2871879, 691.085
261, 1.3050127, 691.085
261, 1.3224896, 691.085
261, 1.3399665, 691.085
261, 1.3574435, 691.085
261, 1.3749204, 691.085
261, 1.3927451, 691.085
261, 1.410222, 691.085
261, 1.427699, 691.085
261, 1.4451759, 691.085
261, 1.4630007, 691.085
261, 1.4808254, 691.085
261, 1.4983023, 691.085
261, 1.5157793, 691.085
261, 1.533604, 691.085
261, 1.5514288, 691.085
261, 1.5692536, 691.085
261, 1.5870783, 691.085
261, 1.6049031, 691.085
261, 1.62238, 691.085
261, 1.6398569, 691.085
261, 1.6576817, 691.085
261, 1.6755065, 691.085
261, 1.6933312, 691.085
261, 1.711156, 691.085
261, 1.7286329, 691.085
261, 1.7461098, 691.085
261, 1.7635868, 691.085
261, 1.7814115, 691.085
261, 1.7992363, 691.085
261, 1.8167132, 691.085
261, 1.8341901, 691.085
261, 1.851667, 691.085
261, 1.869144, 691.085
261, 1.8866209, 691.085
261, 1.9040978, 691.085
261, 1.9219226, 691.085
261, 1.9397473, 691.085
261, 1.9575721, 691.085
261, 1.9753969, 691.085
261, 1.9928738, 691.085
261, 2.0103507, 691.085
261, 2.0281754, 691.085
261, 2.046, 691.085
261, 2.0631325, 691.085
261, 2.0806096, 691.085
261, 2.0984342, 691.085
261, 2.1162589, 691.085
261, 2.133736, 691.085
261, 2.1515605, 691.085
261, 2.1693852, 691.085
261, 2.1872098, 691.085
261, 2.2046869, 691.085
261, 2.2225115, 691.085
261, 2.2403362, 691.085
261, 2.2578132, 691.085
261, 2.2756379, 691.085
261, 2.2934625, 691.085
261, 2.3109396, 691.085
261, 2.3287642, 691.085
261, 2.3465889, 691.085
261, 2.3644135, 691.085
261, 2.3822381, 691.085
261, 2.3997152, 691.085
261, 2.4175398, 691.085
261, 2.4353645, 691.085
261, 2.4531891, 691.085
261, 2.4710138, 691.085
261, 2.4888384, 691.085
261, 2.506663, 691.085
261, 2.5241401, 691.085
261, 2.5419648, 691.085
261, 2.5594418, 691.085
261, 2.5772665, 691.085
261, 2.595091, 691.085
261, 2.6125681, 691.085
261, 2.6303928, 691.085
261, 2.6482174, 691.085
261, 2.666042, 691.085
261, 2.6838667, 691.085
261, 2.7016914, 691.085
261, 2.719516, 691.085
261, 2.736993, 691.085
261, 2.7548177, 691.085
261, 2.7726424, 691.085
261, 2.790467, 691.085
261, 2.8075995, 691.085
261, 2.8254242, 691.085
261, 2.8432488, 691.085
261, 2.8607259, 691.085
261, 2.8785505, 691.085
261, 2.8963752, 691.085
261, 2.9138522, 691.085
261, 2.9313293, 691.085
261, 2.949154, 691.085
261, 2.9669785, 691.085
261, 2.9848032, 691.085
261, 3.0022802, 691.085
261, 3.020105, 691.085
261, 3.0379295, 691.085
261, 3.0557542, 691.085
261, 3.0732312, 691.085
261, 3.0907083, 691.085
261, 3.108533, 691.085
261, 3.12601, 691.085
261, 3.143487, 691.085
261, 3.160964, 691.085
261, 3.178441, 691.085
261, 3.195918, 691.085
261, 3.213395, 691.085
261, 3.2308722, 691.085
261, 3.2486968, 691.085
261, 3.2661738, 691.085
261, 3.2836509, 691.085
261, 3.3014755, 691.085
261, 3.3193002, 691.085
261, 3.3371248, 691.085
261, 3.3549495, 691.085
261, 3.3727741, 691.085
261, 3.3905988, 691.085
261, 3.4084234, 691.085
261, 3.426248, 691.085
261, 3.4440727, 691.085
261, 3.4618974, 691.085
261, 3.4793744, 691.085
261, 3.497199, 691.085
261, 3.514676, 691.085
261, 3.5321531, 691.085
261, 3.5499778, 691.085
261, 3.5678024, 691.085
261, 3.5852795, 691.085
261, 3.603104, 691.085
261, 3.6205812, 691.085
261, 3.6380582, 691.085
261, 3.6558828, 691.085
261, 3.6737075, 691.085
261, 3.6911845, 691.085
261, 3.7090092, 691.085
261, 3.7268338, 691.085
261, 3.7443109, 691.085
261, 3.761788, 691.085
261, 3.779265, 691.085
261, 3.796742, 691.085
261, 3.814219, 691.085
261, 3.8320436, 691.085
261, 3.8498683, 691.085
261, 3.867693, 691.085
261, 3.88517, 691.085
261, 3.9023025, 691.085
261, 3.9197795, 691.085
261, 3.9376042, 691.085
261, 3.9554288, 691.085
